gene_id,gene,protein_id,id_type,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
fst344,FST,P19883,uniprot,FST,344,38.0,6,1,4,15,5.5,-0.42,2014,Regeneration,6
klotho,Klotho,Q9UEF7,uniprot,KL,1012,116.0,5,1,1,10,5.5,-0.33,2010,Longevity & Genome,5
fluc,Luciferase / Luciferin,P08659,uniprot,Luciferase,550,60.7,7,2,5,8,6.4,-0.35,2006,Expression,10
mgmt_p140k,MGMT,P16455,uniprot,MGMT,207,21.7,5,1,1,8,7.4,-0.3,2010,Longevity & Genome,8
tdr1,TDR1,"","",TDR1,350,39.0,1,1,1,35,8.5,-0.7,2024,Stress Resistance,6
reflectin,Reflectin,I7LGW2,uniprot,Reflectin A1,294,32.0,1,6,0,40,3.9,-0.8,2019,Expression,12
tps_pv,TPS,C9K4M3,uniprot,TPS1,500,56.0,3,2,2,8,5.8,-0.2,2020,Environmental Adaptation,5
cahs_d,CAHS D,P0DOW5,uniprot,CAHS D,227,23.5,2,1,3,85,10.2,-1.45,2015,Stress Resistance,6
masp1,MaSp1,P19837,uniprot,Spidroin-1,748,60.6,2,1,7,80,4.5,-0.65,2018,Expression,6
fgf21_stgfbr2,FGF21 / sTGFβR2,Q9NSA1,uniprot,FGF21,209,22.3,3,2,2,30,5.4,-0.48,2019,Longevity & Genome,5
pcsk9_edit,PCSK9,Q8NBP7,uniprot,PCSK9,692,74.3,12,1,3,12,6.1,-0.32,2021,Longevity & Genome,7
piezo2,PIEZO2,Q9H5I5,uniprot,PIEZO2,2752,318.1,56,1,3,10,6.0,-0.15,2010,Perception,7
cltx,Chlorotoxin,P45639,uniprot,Chlorotoxin,36,4.0,2,1,3,0,8.2,-0.25,2006,Expression,3
kcnma1_skate,KCNMA1,Q12791,uniprot,KCNMA1,1236,137.6,29,1,1,10,6.5,-0.42,2015,Perception,8
rbm3,RBM3,P98179,uniprot,RNA-binding protein 3,157,17.2,7,1,3,49,9.8,-1.15,2015,Environmental Adaptation,5
dsup,Dsup,P0DOW4,uniprot,Dsup,445,49.0,4,1,5,72,9.8,-1.3,2016,Stress Resistance,6
sting_bat,STING,L5JUR0,uniprot,STING1,379,42.2,8,1,1,5,5.8,0.02,2020,Environmental Adaptation,6
hsf1_pv,HSF1,A0A9J6CAY1,uniprot,HSF1,529,57.0,12,1,0,45,5.0,-0.8,2018,Stress Resistance,7
lin28a,Lin28a,Q9H9Z2,uniprot,LIN28A,209,22.7,4,1,2,20,9.0,-0.7,2011,Regeneration,8
melanin_pathway,Melanin,,,TYR,532,60.8,1,5,0,5,6.8,-0.15,2007,Stress Resistance,5
